Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,2565.529693,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,518.745108,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,107.75385,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,177.740666,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,153.372011,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,57.87644,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,1813.673666,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,3703.895074,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,256.483385,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,1214.083358,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4
S91,Karol G,1,2023,7,14,525,41,16011326,16.011326,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,812.019557,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,156.338624,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,720.43424,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,674.07271,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,1755.214421,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,404.562836,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7
People,Libianca,1,2022,12,2,3506,56,373199958,373.199958,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,14.780425,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,39.578178,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,54.266102,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,2557.975762,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9
golden hour,JVKE,1,2022,7,15,4511,36,751134527,751.134527,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,2282.771485,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,1356.565093,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,1592.909789,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,635.412045,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,1230.67589,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,585.695368,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,2009.094673,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,600.976848,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,39.228929,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,2665.343922,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,223.633238,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,2887.241814,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,1440.757818,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8
Makeba,Jain,1,2015,6,22,6060,53,165484133,165.484133,150,148,"2,703",22,"1,451",116,D,Major,82,40,66,39,51,25,7
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,58.054811,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,157.05887,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,95.131998,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,250.305248,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,38.411956,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,144.56515,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,127.56754,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3
Snooze,SZA,1,2022,12,9,2839,25,399686758,399.686758,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,983.637508,89,143,"1,632",3,200,112,C#,Minor,56,24,66,7,0,12,3
Take Two,BTS,1,2023,6,9,674,47,118482347,118.482347,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,882.831184,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,286.400165,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5
